nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
rajesh-Inspiron-N5010,NA,1671793716,groupby,TESTTABLE2,100000000,sum v1 by id1,NA,NA,snowflake,6.41.2,NA,select group by,1,1.655,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793723,groupby,TESTTABLE2,100000000,sum v1 by id1,NA,NA,snowflake,6.41.2,NA,select group by,2,1.175,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793730,groupby,TESTTABLE2,100000000,sum v1 by id1:id2,NA,NA,snowflake,6.41.2,NA,select group by,1,0.92,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793736,groupby,TESTTABLE2,100000000,sum v1 by id1:id2,NA,NA,snowflake,6.41.2,NA,select group by,2,0.593,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793741,groupby,TESTTABLE2,100000000,sum v1 mean v3 by id3,NA,NA,snowflake,6.41.2,NA,select group by,1,2.361,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793748,groupby,TESTTABLE2,100000000,sum v1 mean v3 by id3,NA,NA,snowflake,6.41.2,NA,select group by,2,2.232,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793755,groupby,TESTTABLE2,100000000,mean v1:v3 by id4,NA,NA,snowflake,6.41.2,NA,select group by,1,0.827,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793760,groupby,TESTTABLE2,100000000,mean v1:v3 by id4,NA,NA,snowflake,6.41.2,NA,select group by,2,0.927,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793766,groupby,TESTTABLE2,100000000,sum v1:v3 by id6,NA,NA,snowflake,6.41.2,NA,select group by,1,1.62,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793772,groupby,TESTTABLE2,100000000,sum v1:v3 by id6,NA,NA,snowflake,6.41.2,NA,select group by,2,1.778,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793780,groupby,TESTTABLE2,100000000,median v3 sd v3 by id4 id5,NA,NA,snowflake,6.41.2,NA,select group by,1,2.067,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793786,groupby,TESTTABLE2,100000000,median v3 sd v3 by id4 id5,NA,NA,snowflake,6.41.2,NA,select group by,2,1.77,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793793,groupby,TESTTABLE2,100000000,max v1 - min v2 by id3,NA,NA,snowflake,6.41.2,NA,select group by,1,1.411,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793798,groupby,TESTTABLE2,100000000,max v1 - min v2 by id3,NA,NA,snowflake,6.41.2,NA,select group by,2,1.575,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793805,groupby,TESTTABLE2,100000000,largest two v3 by id6,NA,NA,snowflake,6.41.2,NA,select group by,1,3.844,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793812,groupby,TESTTABLE2,100000000,largest two v3 by id6,NA,NA,snowflake,6.41.2,NA,select group by,2,3.928,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793821,groupby,TESTTABLE2,100000000,regression v1 v2 by id2 id4,NA,NA,snowflake,6.41.2,NA,select group by,1,1.066,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793826,groupby,TESTTABLE2,100000000,regression v1 v2 by id2 id4,NA,NA,snowflake,6.41.2,NA,select group by,2,1.58,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793833,groupby,TESTTABLE2,100000000,sum v3 count by id1:id6,NA,NA,snowflake,6.41.2,NA,select group by,1,11.701,NA,TRUE,NA,NA,NA,FALSE
rajesh-Inspiron-N5010,NA,1671793849,groupby,TESTTABLE2,100000000,sum v3 count by id1:id6,NA,NA,snowflake,6.41.2,NA,select group by,2,11.876,NA,TRUE,NA,NA,NA,FALSE
